familyname, species
Abrothallus, bertianus
Abrothallus, cetrariae
Abrothallus, parmeliarum
Abrothallus, usneae
Absconditella, annexa
Absconditella, delutula
Absconditella, lignicola
Absconditella, pauxilla
Absconditella, trivialis
Acarospora, badiofusca
Acarospora, bullata
Acarospora, cervina
Acarospora, fuscata
Acarospora, glaucocarpa
Acarospora, heppii
Acarospora, impressula
Acarospora, macrospora
Acarospora, murorum
Acarospora, murorum
Acarospora, nitrophila
Acarospora, schleicheri
Acarospora, sinopica
Acarospora, smaragdula
Acarospora, umbilicata
Acarospora, veronensis
Acrocordia, cavata
Acrocordia, conoidea
Acrocordia, gemmata
Acrocordia, salweyi
Adelococcus, alpestris
Adelolecia, pilati
Agonimia, allobata
Agonimia, gelatinosa
Agonimia, globulifera
Agonimia, octospora
Agonimia, opuntiella
Agonimia, tristicula
Alectoria, nigricans
Alectoria, ochroleuca
Alectoria, sarmentosa
Amandinea, punctata
Anaptychia, bryorum
Anaptychia, ciliaris
Anaptychia, crinalis
Anisomeridium, biforme
Anisomeridium, macrocarpum
Anisomeridium, polypori
Anzina, carneonivea
Arthonia, apatetica
Arthonia, byssacea
Arthonia, cinnabarina
Arthonia, didyma
Arthonia, dispersa
Arthonia, faginea
Arthonia, fuliginosa
Arthonia, fusca
Arthonia, ilicinella
Arthonia, lapidicola
Arthonia, leucopellaea
Arthonia, ligniaria
Arthonia, mediella
Arthonia, muscigena
Arthonia, pruinata
Arthonia, punctiformis
Arthonia, radiata
Arthonia, reniformis
Arthonia, spadicea
Arthonia, vinosa
Arthopyrenia, antecellens
Arthopyrenia, cerasi
Arthopyrenia, cinereopruinosa
Arthopyrenia, fraxini
Arthopyrenia, grisea
Arthopyrenia, lapponina
Arthopyrenia, microspila
Arthopyrenia, persoonii
Arthopyrenia, punctiformis
Arthopyrenia, rhyponta
Arthopyrenia, salicis
Arthopyrenia, saxicola
Arthopyrenia, viridescens
Arthothelium, lirellans
Arthothelium, ruanum
Arthrorhaphis, alpina
Arthrorhaphis, citrinella
Arthrosporum, populorum
Aspicilia, aquatica
Aspicilia, calcarea
Aspicilia, cinerea
Aspicilia, contorta ssp. contorta
Aspicilia, contorta ssp. hoffmanniana
Aspicilia, contorta
Aspicilia, coronata
Aspicilia, grisea
Aspicilia, intermutans
Aspicilia, melanaspis
Aspicilia, radiosa
Aspicilia, simoensis
Aspicilia, verruculosa
Athelia, arachnoidea
Bacidia, absistens
Bacidia, adastra
Bacidia, arceutina
Bacidia, arnoldiana
Bacidia, arnoldiana
Bacidia, bagliettoana
Bacidia, beckhausii
Bacidia, biatorina
Bacidia, caligans
Bacidia, chloroticula
Bacidia, circumspecta
Bacidia, coprodes
Bacidia, delicata
Bacidia, etayana
Bacidia, fraxinea
Bacidia, fuscoviridis
Bacidia, globulosa
Bacidia, hegetschweileri
Bacidia, incompta
Bacidia, laurocerasi
Bacidia, naegelii
Bacidia, neosquamulosa
Bacidia, phacodes
Bacidia, rosella
Bacidia, rubella
Bacidia, sp.1
Bacidia, subincompta
Bacidia, viridescens
Bacidina, egenula
Bacidina, inundata
Bactrospora, dryina
Baeomyces, placophyllus
Baeomyces, rufus
Bagliettoa, baldensis
Bagliettoa, steineri
Bellemerea, alpina
Bellemerea, diamarta
Biatora, chrysantha
Biatora, efflorescens
Biatora, fallax
Biatora, flavopunctata
Biatora, helvola
Biatora, ocelliformis
Biatora, porphyroplaca
Biatora, rufidula
Biatora, subduplex
Biatora, vacciniicola
Biatora, vernalis
Biatorella, hemisphaerica
Biatoridium, delitescens
Biatoridium, monasteriense
Biatoropsis, usnearum
Bispora, christiansenii
Brodoa, intestiniformis
Bryonora, castanea
Bryophagus, gloeocapsa
Bryoria, bicolor
Bryoria, capillaris
Bryoria, chalybeiformis
Bryoria, fuscescens
Bryoria, implexa
Bryoria, nadvornikiana
Bryoria, simplicior
Bryoria, smithii
Bryoria, sp.1
Bryoria, subcana
Buellia, aethalea
Buellia, alboatra
Buellia, arborea
Buellia, asterella
Buellia, chloroleuca
Buellia, disciformis
Buellia, elegans
Buellia, epigaea
Buellia, epipolia
Buellia, erubescens
Buellia, griseovirens
Buellia, insignis
Buellia, papillata
Buellia, poeltii
Buellia, schaereri
Buellia, triphragmioides
Buellia, venusta
Byssoloma, marginatum
Byssoloma, subdiscordans
Calicium, abietinum
Calicium, adaequatum
Calicium, adspersum
Calicium, denigratum
Calicium, glaucellum
Calicium, lenticulare
Calicium, montanum
Calicium, parvum
Calicium, pinastri
Calicium, quercinum
Calicium, salicinum
Calicium, trabinellum
Calicium, viride
Caloplaca, alnetorum
Caloplaca, ammiospila
Caloplaca, arcis
Caloplaca, arenaria
Caloplaca, athroocarpa
Caloplaca, aurantia
Caloplaca, aurea
Caloplaca, biatorina
Caloplaca, borealis
Caloplaca, bryochrysion
Caloplaca, cacuminum
Caloplaca, cerina var. cerina
Caloplaca, cerina var. chloroleuca
Caloplaca, cerina var. muscorum
Caloplaca, cerina
Caloplaca, cerinella
Caloplaca, cerinelloides
Caloplaca, chalybaea
Caloplaca, chlorina
Caloplaca, chrysodeta
Caloplaca, chrysophthalma
Caloplaca, cirrochroa
Caloplaca, citrina
Caloplaca, conversa
Caloplaca, crenularia
Caloplaca, crenulatella
Caloplaca, decipiens
Caloplaca, epiphyta
Caloplaca, ferruginea aggr.
Caloplaca, ferruginea/hungarica
Caloplaca, flavescens
Caloplaca, flavocitrina
Caloplaca, flavorubescens
Caloplaca, flavovirescens
Caloplaca, furfuracea
Caloplaca, grimmiae
Caloplaca, herbidella
Caloplaca, herbidella sensu Toensberg
Caloplaca, holocarpa
Caloplaca, hungarica
Caloplaca, inconnexa
Caloplaca, isidiigera
Caloplaca, jungermanniae
Caloplaca, lactea
Caloplaca, livida
Caloplaca, lucifuga
Caloplaca, obscurella
Caloplaca, ochracea
Caloplaca, pollinii
Caloplaca, polycarpa
Caloplaca, saxicola
Caloplaca, saxifragarum
Caloplaca, sinapisperma
Caloplaca, sorocarpa
Caloplaca, sp.1
Caloplaca, subpallida
Caloplaca, teicholyta
Caloplaca, tetraspora
Caloplaca, tiroliensis
Caloplaca, ulcerosa
Caloplaca, variabilis
Caloplaca, velana
Calyciopsis, sp.1
Candelaria, concolor
Candelariella, aurella
Candelariella, coralliza
Candelariella, lutella
Candelariella, medians
Candelariella, reflexa
Candelariella, subdeflexa
Candelariella, viae-lacteae
Candelariella, vitellina
Candelariella, xanthostigma
Carbonea, aggregantula
Carbonea, vitellinaria
Carbonea, vorticosa
Catapyrenium, cinereum
Catapyrenium, daedaleum
Catapyrenium, michelii
Catapyrenium, pilosellum
Catapyrenium, rufescens
Catapyrenium, squamulosum
Catapyrenium, tremniacense
Catillaria, alba
Catillaria, atomarioides
Catillaria, chalybeia
Catillaria, croatica
Catillaria, erysiboides
Catillaria, lenticularis
Catillaria, nigroclavata
Catillaria, pulverea
Catillaria, scotinodes
Catinaria, atropurpurea
Catinaria, papillosa
Catolechia, wahlenbergii
Cetraria, aculeata
Cetraria, chlorophylla
Cetraria, cucullata
Cetraria, ericetorum
Cetraria, hepatizon
Cetraria, islandica ssp. crispiformis
Cetraria, islandica ssp. islandica
Cetraria, islandica
Cetraria, laureri
Cetraria, nivalis
Cetraria, oakesiana
Cetraria, sepincola
Cetraria, tubulosa
Cetrelia, cetrarioides
Cetrelia, chicitae
Cetrelia, olivetorum
Chaenotheca, brachypoda
Chaenotheca, brunneola
Chaenotheca, chlorella
Chaenotheca, chrysocephala
Chaenotheca, cinerea
Chaenotheca, ferruginea
Chaenotheca, furfuracea
Chaenotheca, gracilenta
Chaenotheca, hispidula
Chaenotheca, laevigata
Chaenotheca, phaeocephala
Chaenotheca, sphaerocephala
Chaenotheca, stemonea
Chaenotheca, subroscida
Chaenotheca, trichialis
Chaenotheca, xyloxena
Chaenothecopsis, consociata
Chaenothecopsis, epithallina
Chaenothecopsis, hospitans
Chaenothecopsis, nana
Chaenothecopsis, ochroleuca
Chaenothecopsis, pusilla
Chaenothecopsis, rubescens
Chaenothecopsis, savonica
Chaenothecopsis, viridialba
Chaenothecopsis, viridireagens
Cheiromycina, flabelliformis
Chromatochlamys, muscorum
Chrysothrix, candelaris
Chrysothrix, chlorina
Cladonia, acuminata
Cladonia, amaurocraea
Cladonia, arbuscula ssp. mitis
Cladonia, arbuscula ssp. squarrosa
Cladonia, arbuscula
Cladonia, bacilliformis
Cladonia, bellidiflora
Cladonia, borealis
Cladonia, botrytes
Cladonia, caespiticia
Cladonia, cariosa
Cladonia, carneola
Cladonia, cenotea
Cladonia, cervicornis ssp. cervicornis
Cladonia, cervicornis ssp. verticillata
Cladonia, cervicornis
Cladonia, ciliata var. tenuis
Cladonia, ciliata
Cladonia, coccifera
Cladonia, coniocraea
Cladonia, convoluta
Cladonia, cornuta
Cladonia, crispata var. cetrariiformis
Cladonia, crispata
Cladonia, cyanipes
Cladonia, dahliana
Cladonia, decorticata
Cladonia, deformis
Cladonia, digitata
Cladonia, ecmocyna
Cladonia, fimbriata
Cladonia, foliacea
Cladonia, furcata ssp. furcata
Cladonia, furcata ssp. subrangiformis
Cladonia, furcata
Cladonia, glauca
Cladonia, gracilis ssp. turbinata
Cladonia, gracilis
Cladonia, grayi
Cladonia, incrassata
Cladonia, macilenta ssp. floerkeana
Cladonia, macilenta ssp. macilenta
Cladonia, macilenta
Cladonia, macroceras
Cladonia, macrophylla
Cladonia, macrophyllodes
Cladonia, merochlorophaea var. m.
Cladonia, merochlorophaea var. novochlorop.
Cladonia, metacorallifera
Cladonia, norvegica
Cladonia, ochrochlora
Cladonia, parasitica
Cladonia, peziziformis
Cladonia, phyllophora
Cladonia, pleurota
Cladonia, polycarpoides
Cladonia, polydactyla
Cladonia, portentosa
Cladonia, pseudopityrea
Cladonia, pyxidata ssp. chlorophaea
Cladonia, pyxidata ssp. pocillum
Cladonia, pyxidata ssp. pyxidata
Cladonia, pyxidata
Cladonia, ramulosa
Cladonia, rangiferina
Cladonia, rangiformis
Cladonia, rei
Cladonia, squamosa var. squamosa
Cladonia, squamosa var. subsquamosa
Cladonia, squamosa
Cladonia, stellaris
Cladonia, strepsilis
Cladonia, stygia
Cladonia, subulata
Cladonia, sulphurina
Cladonia, symphycarpa
Cladonia, trassii
Cladonia, umbricola
Cladonia, uncialis  s.l.
Cladonia, uncialis ssp. biuncialis
Cladonia, uncialis ssp. uncialis
Clauzadea, chondrodes
Clauzadea, immersa
Clauzadea, monticola
Cliostomum, corrugatum
Cliostomum, leprosum
Cliostomum, pallens
Collema, auriforme
Collema, ceraniscum
Collema, coccophorum
Collema, crispum
Collema, cristatum
Collema, fasciculare
Collema, flaccidum
Collema, fragrans
Collema, furfuraceum
Collema, fuscovirens
Collema, ligerinum
Collema, limosum
Collema, multipartitum
Collema, nigrescens
Collema, occultatum
Collema, polycarpon
Collema, subflaccidum
Collema, tenax var. ceranoides
Collema, tenax
Collema, undulatum var. granulosum
Collema, undulatum
Cornicularia, normoerica
Corticifraga, peltigerae
Cyphelium, inquinans
Cyphelium, karelicum
Cyphelium, lucidum
Cyphelium, notarisii
Cyphelium, pinicola
Cyphelium, sessile
Cyphelium, tigillare
Cyphelium, trachylioides
Cystocoleus, ebeneus
Dacampia, engeliana
Dacampia, hookeri
Dactylina, madreporiformis
Dactylospora, amygdalariae
Dactylospora, parasitica
Dermatocarpon, arnoldianum
Dermatocarpon, intestiniforme
Dermatocarpon, luridum
Dermatocarpon, miniatum
Dibaeis, baeomyces
Dimelaena, oreina
Dimerella, lutea
Dimerella, pineti
Diploschistes, diacapsis
Diploschistes, gypsaceus
Diploschistes, muscorum
Diploschistes, scruposus
Diplotomma, sp.1
Dirina, massiliensis forma massiliensis
Dirina, massiliensis forma sorediata
Eiglera, homalomorpha
Endocarpon, adscendens
Endocarpon, latzelianum
Endocarpon, pallidulum
Endocarpon, pulvinatum
Endocarpon, pusillum
Enterographa, zonata
Eopyrenula, avellanae
Eopyrenula, leucoplaca
Ephebe, lanata
Epicladonia, sandstedei
Epigloea, grummannii
Epilichen, scabrosus
Evernia, divaricata
Evernia, mesomorpha
Evernia, perfragilis
Evernia, prunastri
Farnoldia, jurana
Fellhanera, bouteillei
Fellhanera, gyrophorica
Fellhanera, subtilis
Fellhanera, viridisorediata
Fellhaneropsis, myrtillicola
Fellhaneropsis, vezdae
Frutidella, caesioatra
Fulgensia, bracteata  s.l.
Fulgensia, bracteata ssp. deformis
Fulgensia, bracteata var. alpina
Fulgensia, bracteata var. bracteata
Fulgensia, fulgens
Fulgensia, klementii
Fulgensia, pruinosa
Fulgensia, schistidii
Fulgensia, subbracteata
Fuscidea, arboricola
Fuscidea, austera
Fuscidea, kochiana
Fuscidea, lightfootii
Fuscidea, praeruptorum
Fuscidea, pusilla
Fuscopannaria, confusa
Graphis, elegans
Graphis, scripta
Gyalecta, flotowii
Gyalecta, foveolaris
Gyalecta, geoica
Gyalecta, jenensis
Gyalecta, truncigena var. derivata
Gyalecta, truncigena var. truncigena
Gyalecta, truncigena
Gyalecta, ulmi
Gyalideopsis, anastomosans
Gyalideopsis, helvetica
Haematomma, aff. ochroleucum
Haematomma, ochroleucum var. ochroleucum
Haematomma, ochroleucum
Haematomma, sorediatum
Halecania, viridescens
Heppia, adglutinata
Heppia, lutosa
Heterodermia, leucomelos
Heterodermia, obscurata
Heterodermia, speciosa
Hymenelia, coerulea
Hymenelia, epulotica
Hymenelia, lacustris
Hymenelia, ochrolemma
Hyperphyscia, adglutinata
Hypocenomyce, caradocensis
Hypocenomyce, friesii
Hypocenomyce, leucococca
Hypocenomyce, praestabilis
Hypocenomyce, scalaris
Hypocenomyce, sorophora
Hypogymnia, austerodes
Hypogymnia, bitteri
Hypogymnia, farinacea
Hypogymnia, physodes
Hypogymnia, tubulosa
Hypogymnia, vittata
Icmadophila, ericetorum
Imshaugia, aleurites
Ionaspis, chrysophana
Ionaspis, heteromorpha
Ionaspis, odora
Japewia, subaurifera
Japewia, tornoensis
Lasallia, pustulata
Lauderlindsaya, acroglypta
Lecanactis, abietina
Lecanactis, umbrina
Lecania, cyrtella
Lecania, erysibe
Lecania, fuscella
Lecania, inundata
Lecania, koerberiana
Lecania, rabenhorstii
Lecania, turicensis
Lecanora, admontensis
Lecanora, aff. expallens
Lecanora, agardhiana ssp. sapaudica
Lecanora, albella
Lecanora, albescens
Lecanora, allophana forma allophana
Lecanora, allophana forma sorediata
Lecanora, allophana
Lecanora, anopta
Lecanora, argentata
Lecanora, argentata/subrugosa
Lecanora, barkmaneana
Lecanora, bicincta
Lecanora, boligera
Lecanora, cadubriae
Lecanora, campestris
Lecanora, carpinea
Lecanora, cenisia
Lecanora, cf. phaeostigma
Lecanora, chlarotera
Lecanora, chlarotera/rugosella
Lecanora, cinereofusca
Lecanora, circumborealis
Lecanora, compallens
Lecanora, conizaeoides
Lecanora, crenulata
Lecanora, dispersa
Lecanora, epanora
Lecanora, epibryon
Lecanora, expallens
Lecanora, expersa
Lecanora, farinaria
Lecanora, flavoleprosa
Lecanora, fuscescens
Lecanora, gisleri
Lecanora, glabrata
Lecanora, grandis
Lecanora, hagenii
Lecanora, hagenii aggr.
Lecanora, horiza
Lecanora, hypoptoides
Lecanora, impudens
Lecanora, intricata
Lecanora, intumescens
Lecanora, leptyrodes
Lecanora, marginata
Lecanora, mughicola
Lecanora, muralis ssp. dubyi
Lecanora, muralis
Lecanora, norvegica
Lecanora, persimilis
Lecanora, phaeostigma
Lecanora, polytropa
Lecanora, populicola
Lecanora, praesistens
Lecanora, pulicaris
Lecanora, reuteri
Lecanora, rugosella
Lecanora, rupicola
Lecanora, rupicola
Lecanora, salicicola
Lecanora, saligna
Lecanora, salina
Lecanora, sambuci
Lecanora, sarcopidioides
Lecanora, sp.1
Lecanora, sp.3 (ticinense)
Lecanora, sp.4
Lecanora, sp.5
Lecanora, strobilina
Lecanora, strobilina aggr.
Lecanora, subaurea
Lecanora, subcarpinea
Lecanora, subintricata
Lecanora, subrugosa
Lecanora, swartzii
Lecanora, symmicta var. aitema
Lecanora, symmicta var. symmicta
Lecanora, symmicta aggr.
Lecanora, umbrina
Lecanora, umbrosa
Lecanora, varia
Lecanora, vinetorum
Lecanora, xanthostoma
Lecidea, amaurospoda
Lecidea, atrobrunnea
Lecidea, betulicola
Lecidea, confluens
Lecidea, diducens
Lecidea, erythrophaea
Lecidea, fuscoatra
Lecidea, gibberosa
Lecidea, grisella
Lecidea, huxariensis
Lecidea, hypopta
Lecidea, insidiosa
Lecidea, lapicida
