familyname, species
Lecidea, leprarioides
Lecidea, limosa
Lecidea, lithophila
Lecidea, lurida
Lecidea, margaritella
Lecidea, meiocarpa
Lecidea, nylanderi
Lecidea, plebeja
Lecidea, porphyrospoda
Lecidea, promiscua var. promiscens
Lecidea, silacea
Lecidea, sp.1
Lecidea, symmictella
Lecidea, tessellata
Lecidea, turgidula
Lecidella, aff. leprothalla
Lecidella, aff. prasinula
Lecidella, alba
Lecidella, carpathica
Lecidella, elaeochroma forma elaeochroma
Lecidella, elaeochroma forma soralifera
Lecidella, elaeochroma
Lecidella, flavosorediata
Lecidella, laureri
Lecidella, patavina
Lecidella, pulveracea
Lecidella, scabra
Lecidella, sp.1
Lecidella, sp.2
Lecidella, sp.3
Lecidella, stigmatea
Lecidella, subviridis
Lecidoma, demissum
Lemmopsis, arnoldiana
Lempholemma, chalazanum
Lempholemma, polyanthes
Lepraria, caesioalba
Lepraria, crassissima
Lepraria, eburnea
Lepraria, elobata
Lepraria, incana
Lepraria, jackii
Lepraria, lesdainii
Lepraria, lobificans
Lepraria, neglecta
Lepraria, nivalis
Lepraria, obtusatica
Lepraria, rigidula
Lepraria, sp.1
Leprocaulon, microscopicum
Leproloma, diffusum
Leproloma, membranaceum
Leproloma, vouauxii
Leptochidium, albociliatum
Leptogium, biatorinum
Leptogium, brebissonii
Leptogium, burnetiae
Leptogium, byssinum
Leptogium, cyanescens
Leptogium, gelatinosum
Leptogium, hildenbrandii
Leptogium, imbricatum
Leptogium, intermedium
Leptogium, lichenoides
Leptogium, plicatile
Leptogium, saturninum
Leptogium, schraderi
Leptogium, sp.1
Leptogium, subtile
Leptogium, tenuissimum
Leptogium, teretiusculum
Leptogium, turgidum
Leptorhaphis, atomaria
Leptorhaphis, epidermidis
Leptorhaphis, maggiana
Letharia, vulpina
Leucocarpia, biatorella
Licea, parasitica
Lichenoconium, lecanorae
Lichenoconium, pyxidatae
Lichenodiplis, lecanorae
Lichenosticta, alcicornaria
Lichenostigma, maureri
Lithothelium, hyalosporum
Lobaria, amplissima
Lobaria, linita
Lobaria, pulmonaria
Lobaria, scrobiculata
Lobaria, virens
Lopadium, disciforme
Lopadium, pezizoideum
Loxospora, cismonica
Loxospora, elatina
Macentina, stigonemoides
Maronea, constans
Massalongia, carnosa
Megalaria, laureri
Megalospora, pachycarpa
Megaspora, verrucosa
Melaspilea, aff. bagliettoana
Melaspilea, proximella
Melaspilea, rhododendri
Menegazzia, terebrata
Micarea, adnata
Micarea, anterior
Micarea, botryoides
Micarea, cinerea
Micarea, contexta
Micarea, coppinsii
Micarea, denigrata
Micarea, elachista
Micarea, eximia
Micarea, globulosella
Micarea, hedlundii
Micarea, leprosula
Micarea, lignaria var. endoleuca
Micarea, lignaria
Micarea, lithinella
Micarea, lutulata
Micarea, melaena
Micarea, micrococca
Micarea, misella
Micarea, nigella
Micarea, nitschkeana
Micarea, peliocarpa
Micarea, prasina
Micarea, sp.1
Micarea, stipitata
Micarea, turfosa
Micarea, viridileprosa
Micarea, xanthonica
Microcalicium, ahlneri
Microcalicium, arenarium
Microcalicium, disseminatum
Microcalicium, subpedicellatum
Miriquidica, garovaglii
Moelleropsis, nebulosa
Muellerella, lichenicola
Muellerella, polyspora
Muellerella, pygmaea
Multiclavula, mucida
Mycobilimbia, accedens
Mycobilimbia, berengeriana
Mycobilimbia, carneoalbida
Mycobilimbia, epixanthoides
Mycobilimbia, fusca
Mycobilimbia, hypnorum
Mycobilimbia, lobulata
Mycobilimbia, microcarpa
Mycobilimbia, sabuletorum
Mycobilimbia, sabuletorum aggr.
Mycobilimbia, sanguineoatra
Mycobilimbia, sphaeroides
Mycobilimbia, tetramera
Mycoblastus, affinis
Mycoblastus, alpinus
Mycoblastus, caesius
Mycoblastus, fucatus
Mycoblastus, sanguinarius
Mycocalicium, subtile
Mycomicrothelia, sp.
Nephroma, bellum
Nephroma, expallidum
Nephroma, laevigatum
Nephroma, parile
Nephroma, resupinatum
Nesolechia, oxyspora
Normandina, pulchella
Ochrolechia, alboflavescens
Ochrolechia, androgyna
Ochrolechia, arborea
Ochrolechia, microstictoides
Ochrolechia, pallescens
Ochrolechia, subviridis
Ochrolechia, szatalaensis
Ochrolechia, turneri
Ochrolechia, upsaliensis
Omphalina, hudsoniana
Omphalina, umbellifera
Opegrapha, atra
Opegrapha, demutata
Opegrapha, dolomitica
Opegrapha, mougeotii
Opegrapha, niveoatra
Opegrapha, ochrocheila
Opegrapha, rufescens
Opegrapha, sp.1
Opegrapha, varia var. herbarum
Opegrapha, varia var. varia
Opegrapha, varia
Opegrapha, vermicellifera
Opegrapha, viridis
Opegrapha, vulgata var. subsiderella
Opegrapha, vulgata var. vulgata
Opegrapha, vulgata
Ophioparma, ventosa
Pachyphiale, carneola
Pachyphiale, fagicola
Pachyphiale, ophiospora
Pannaria, conoplea
Pannaria, leucophaea
Pannaria, pezizoides
Pannaria, praetermissa
Parmelia, acetabulum
Parmelia, afrorevoluta
Parmelia, borreri
Parmelia, caperata
Parmelia, conspersa
Parmelia, disjuncta
Parmelia, elegantula
Parmelia, exasperata
Parmelia, exasperatula
Parmelia, flaventior
Parmelia, glabra
Parmelia, glabratula ssp. fuliginosa
Parmelia, glabratula
Parmelia, laciniatula
Parmelia, laevigata
Parmelia, minarum
Parmelia, olivacea
Parmelia, omphalodes
Parmelia, panniformis
Parmelia, pastillifera
Parmelia, protomatrae
Parmelia, pulla  s.l.
Parmelia, pulla
Parmelia, quercina var. carporrhizans
Parmelia, quercina var. quercina
Parmelia, quercina
Parmelia, reticulata
Parmelia, revoluta
Parmelia, saxatilis
Parmelia, septentrionalis
Parmelia, sinuosa
Parmelia, somloensis
Parmelia, soredica
Parmelia, squarrosa
Parmelia, subargentifera
Parmelia, subaurifera
Parmelia, submontana
Parmelia, subrudecta
Parmelia, substygia
Parmelia, sulcata
Parmelia, taylorensis
Parmelia, tiliacea
Parmelia, verruculifera
Parmeliella, testacea
Parmeliella, triptophylla
Parmeliopsis, ambigua
Parmeliopsis, hyperopta
Parmotrema, arnoldii
Parmotrema, chinense
Parmotrema, crinitum
Parmotrema, stuppeum
Peltigera, aphthosa
Peltigera, canina
Peltigera, collina
Peltigera, degenii
Peltigera, didactyla
Peltigera, elisabethae
Peltigera, horizontalis
Peltigera, hymenina
Peltigera, kristinssonii
Peltigera, lepidophora
Peltigera, leucophlebia
Peltigera, malacea
Peltigera, membranacea
Peltigera, monticola
Peltigera, neckeri
Peltigera, neopolydactyla
Peltigera, polydactylon
Peltigera, ponojensis
Peltigera, praetextata
Peltigera, rufescens
Peltigera, venosa
Peridiothelia, fuliguncta
Pertusaria, aff. pulvereo-sulphurata
Pertusaria, albescens var. corallina
Pertusaria, albescens
Pertusaria, alpina
Pertusaria, amara
Pertusaria, amarescens
Pertusaria, borealis
Pertusaria, coccodes
Pertusaria, constricta
Pertusaria, corallina
Pertusaria, coronata
Pertusaria, flavicans
Pertusaria, flavida
Pertusaria, geminipara
Pertusaria, hemisphaerica
Pertusaria, lactea
Pertusaria, leioplaca
Pertusaria, multipuncta
Pertusaria, oculata
Pertusaria, ophthalmiza
Pertusaria, pertusa
Pertusaria, pseudocorallina
Pertusaria, pupillaris
Pertusaria, pustulata
Pertusaria, sommerfeltii
Petractis, clausa
Petractis, hypoleuca
Phaeocalicium, compressulum
Phaeocalicium, interruptum
Phaeocalicium, populneum
Phaeophyscia, chloantha
Phaeophyscia, ciliata
Phaeophyscia, constipata
Phaeophyscia, endococcina
Phaeophyscia, endophoenicea
Phaeophyscia, hirsuta
Phaeophyscia, hispidula
Phaeophyscia, insignis
Phaeophyscia, nigricans
Phaeophyscia, orbicularis
Phaeophyscia, poeltii
Phaeophyscia, pusilloides
Phaeophyscia, sciastra
Phaeopyxis, punctum
Phaeorrhiza, nimbosa
Phaeorrhiza, sareptana
Phaeospora, granulosae
Phaeosporobolus, usneae
Phlyctis, agelaea
Phlyctis, argena
Physcia, adscendens
Physcia, aipolia
Physcia, caesia var. ventosa
Physcia, caesia
Physcia, clementei
Physcia, dimidiata
Physcia, dubia
Physcia, magnussonii
Physcia, stellaris
Physcia, tenella var. tenella
Physcia, tenella
Physcia, vitii
Physconia, distorta
Physconia, enteroxantha
Physconia, grisea
Physconia, muscigena
Physconia, perisidiosa
Placidiopsis, cartilaginea
Placidiopsis, pseudocinerea
Placynthiella, dasaea
Placynthiella, icmalea
Placynthiella, oligotropha
Placynthiella, uliginosa
Placynthium, garovaglioi var. garovaglioi
Placynthium, lismorense
Placynthium, nigrum
Platismatia, glauca
Plectocarpon, lichenum
Pleopsidium, chlorophana
Pleopsidium, flavum
Polyblastia, albida
Polyblastia, cupularis
Polyblastia, deminuta
Polyblastia, sendtneri
Polyblastia, sepulta
Polyblastia, singularis
Polyblastia, theleodes
Polyblastia, verrucosa
Polychidium, muscicola
Polysporina, simplex
Porina, aenea
Porina, byssophila
Porina, glaucocinerea
Porina, leptalea
Porpidia, cinereoatra
Porpidia, crustulata
Porpidia, glaucophaea
Porpidia, macrocarpa
Porpidia, soredizodes
Porpidia, speirea
Porpidia, tuberculosa
Protoblastenia, calva
Protoblastenia, incrustans
Protoblastenia, rupestris
Protoblastenia, siebenhaariana
Protoblastenia, terricola
Protoparmelia, badia
Protoparmelia, hypotremella
Pseudephebe, minuscula
Pseudephebe, pubescens
Pseudevernia, furfuracea var. ceratea
Pseudevernia, furfuracea var. furfuracea
Pseudevernia, furfuracea
Psilolechia, clavulifera
Psilolechia, lucida
Psora, decipiens
Psora, globifera
Psora, saviczii
Psora, testacea
Psora, vallesiaca
Psoroma, hypnorum var. hypnorum
Psoroma, hypnorum
Psoroma, tenue
Ptychographa, flexella
Punctelia, jeckeri
Pycnothelia, papillaria
Pyrenocollema, minutulum
Pyrenula, laevigata
Pyrenula, nitida
Pyrenula, nitidella
Pyrrhospora, cinnabarina
Racodium, rupestre
Ramalina, dilacerata
Ramalina, farinacea
Ramalina, fastigiata
Ramalina, fraxinea
Ramalina, obtusata
Ramalina, panizzei
Ramalina, pollinaria
Ramalina, polymorpha
Ramalina, roesleri
Ramalina, sinensis
Ramalina, thrausta
Reichlingia, leopoldii
Rhizocarpon, alpicola
Rhizocarpon, atroflavescens
Rhizocarpon, badioatrum
Rhizocarpon, disporum
Rhizocarpon, distinctum
Rhizocarpon, geminatum
Rhizocarpon, geographicum
Rhizocarpon, hochstetteri
Rhizocarpon, lavatum
Rhizocarpon, lecanorinum
Rhizocarpon, macrosporum
Rhizocarpon, obscuratum
Rhizocarpon, petraeum
Rhizocarpon, polycarpum
Rhizocarpon, ridescens
Rhizocarpon, umbilicatum
Rhizocarpon, viridiatrum
Rhizoplaca, chrysoleuca
Rhizoplaca, melanophthalma
Rimularia, insularis
Rinodina, alba
Rinodina, archaea
Rinodina, bischoffii
Rinodina, calcarea
Rinodina, capensis
Rinodina, colobina
Rinodina, confragosa
Rinodina, conradii
Rinodina, efflorescens
Rinodina, exigua
Rinodina, gennarii
Rinodina, griseosoralifera
Rinodina, immersa
Rinodina, isidioides
Rinodina, malangica
Rinodina, mniaraea  s.l.
Rinodina, mniaraea var. cinnamomea
Rinodina, mniaraea var. mniaraea
Rinodina, olivaceobrunnea
Rinodina, orculata
Rinodina, oxydata
Rinodina, polysporoides
Rinodina, pyrina
Rinodina, roboris
Rinodina, roscida
Rinodina, septentrionalis
Rinodina, sheardii
Rinodina, sophodes
Rinodina, sp.1
Rinodina, teichophila
Rinodina, turfacea
Rinodina, ventricosa
Ropalospora, sp.1
Ropalospora, viridis
Santessoniella, arctophila
Sarcogyne, clavus
Sarcogyne, fallax
Sarcogyne, privigna
Sarcogyne, regularis
Sarea, difformis
Sarea, resinae
Schaereria, fuscocinerea
Schismatomma, decolorans
Schismatomma, graphidioides
Schismatomma, pericleum
Sclerococcum, sphaerale
Sclerophora, farinacea
Sclerophora, nivea
Sclerophora, peronella
Scoliciosporum, chlorococcum
Scoliciosporum, curvatum
Scoliciosporum, gallurae
Scoliciosporum, perpusillum
Scoliciosporum, pruinosum
Scoliciosporum, sarothamni
Scoliciosporum, schadeanum
Scoliciosporum, umbrinum
Solorina, bispora var. bispora
Solorina, bispora var. macrospora
Solorina, bispora var. monospora
Solorina, bispora
Solorina, crocea
Solorina, octospora
Solorina, saccata
Solorina, spongiosa
Solorinella, asteriscus
Sphaerophorus, fragilis
Sphaerophorus, globosus
Sphaerophorus, melanocarpus
Sphinctrina, anglica
Sporastatia, polyspora
Sporastatia, testudinea
Squamarina, cartilaginea
Squamarina, gypsacea
Squamarina, lamarckii
Squamarina, lentigera
Staurothele, caesia
Staurothele, frustulenta
Staurothele, fuscocuprea
Staurothele, guestphalica
Staurothele, rugulosa
Staurothele, succedens
Steinia, geophana
Stenhammarella, turgida
Stenocybe, major
Stenocybe, pullatula
Stereocaulon, alpinum
Stereocaulon, botryosum
Stereocaulon, capitellatum
Stereocaulon, dactylophyllum
Stereocaulon, incrustatum
Stereocaulon, nanodes
Stereocaulon, rivulorum
Sticta, fuliginosa
Sticta, limbata
Sticta, sylvatica
Stigmidium, peltideae
Stigmidium, punctillum
Stigmidium, schaereri
Stigmidium, stygnospilum
Strangospora, deplanata
Strangospora, moriformis
Strangospora, ochrophora
Strangospora, pinicola
Strigula, affinis
Strigula, glabra
Strigula, jamesii
Strigula, mediterranea
Strigula, stigmatella
Synalissa, symphorea
Teichospora, ampullacea
Teloschistes, chrysophthalmus
Tephromela, atra var. corticola
Tephromela, atra forma atra
Tephromela, atra
Tephromela, pertusarioides
Thamnolia, vermicularis
Thelenella, modesta
Thelidium, decipiens
Thelidium, incavatum
Thelidium, minimum
Thelidium, olivaceum
Thelidium, papulare
Thelidium, pyrenophorum
Thelidium, rehmii
Thelidium, zwackhii
Thelocarpon, laureri
Thelomma, ocellatum
Thelopsis, flaveola
Thelopsis, melathelia
Thelopsis, rubella
Thelotrema, lepadinum
Thrombium, epigaeum
Thyrea, confusa
Toninia, albilabra
Toninia, alutacea
Toninia, aromatica
Toninia, athallina
Toninia, candida
Toninia, cinereovirens
Toninia, coelestina
Toninia, diffracta
Toninia, episema
Toninia, lutosa
Toninia, opuntioides
Toninia, philippea
Toninia, physaroides
Toninia, rosulata
Toninia, sedifolia
Toninia, squalida
Toninia, taurica
Toninia, toniniana
Toninia, tristis
Toninia, verrucarioides
Trapelia, coarctata
Trapelia, corticola
Trapelia, involuta
Trapelia, mooreana
Trapelia, placodioides
Trapeliopsis, aeneofusca
Trapeliopsis, flexuosa
Trapeliopsis, gelatinosa
Trapeliopsis, granulosa
Trapeliopsis, pseudogranulosa
Tremella, cladoniae
Tremella, hypogymniae
Tremolecia, atrata
Umbilicaria, cinerascens
Umbilicaria, crustulosa
Umbilicaria, cylindrica
Umbilicaria, deusta
Umbilicaria, grisea
Umbilicaria, microphylla
Umbilicaria, nylanderiana
Umbilicaria, polyphylla
Umbilicaria, vellea
Usnea, cavernosa
Usnea, ceratina
Usnea, cornuta
Usnea, diplotypus
Usnea, filipendula
Usnea, florida
Usnea, fulvoreagens
Usnea, glabrata
Usnea, glabrescens
Usnea, hirta
Usnea, intermedia
Usnea, lapponica
Usnea, longissima
Usnea, madeirensis
Usnea, prostrata  s.l.
Usnea, rigida  s.l.
Usnea, scabrata
Usnea, silesiaca
Usnea, subfloridana
Usnea, substerilis
Usnea, substerilis/lapponica
Usnea, wasmuthii
Varicellaria, rhodocarpa
Verrucaria, caerulea
Verrucaria, calciseda
Verrucaria, dolosa
Verrucaria, elaeina
Verrucaria, elaeomelaena
Verrucaria, foveolata
Verrucaria, fuscella
Verrucaria, hochstetteri
Verrucaria, macrostoma
Verrucaria, marmorea
Verrucaria, muralis
Verrucaria, murina
Verrucaria, nigrescens
Verrucaria, ochrostoma
Verrucaria, pinguicula
Verrucaria, praetermissa
Verrucaria, viridula forma tectorum
Verrucaria, viridula
Vezdaea, aestivalis
Vezdaea, retigera
Vezdaea, rheocarpa
Vezdaea, stipitata
Vouauxiella, lichenicola
Vulpicida, pinastri
Vulpicida, tubulosus
Xanthoria, calcicola
Xanthoria, candelaria
Xanthoria, elegans
Xanthoria, fallax
Xanthoria, fulva
Xanthoria, parietina
Xanthoria, polycarpa
Xanthoria, sorediata
Xanthoria, ulophyllodes
Xylographa, minutula
Xylographa, parallela
Xylographa, trunciseda
Xylographa, vitiligo
Zamenhofia, hibernica
aff. Biatora, areolata
aff. Lecania, cyrtellina
aff. Pyrrhospora, quernea
